evid,std_x_km,std_y_km,std_z_km,std_t_s,std_xyz_km,ess_xyzt_min,ess_x,ess_y,ess_z,ess_t,n_samples,degree,ess_rank_hi,std_rank_lo,suspicious_score
767,0.014923106,0.012920141,0.016045436,0.00869793,0.02543787,95.51965,154.44144,95.51965,112.188644,197.78313,12602,284,0.09576837416481068,0.11358574610244988,0.010877922232528607
417,0.014560024,0.014972448,0.01760065,0.010249269,0.027312111,105.48427,206.60123,122.02055,105.48427,200.527,12602,340,0.06792873051224944,0.15812917594654788,0.010741514178997129
906,0.017765902,0.013709902,0.02792855,0.0077748243,0.03582726,134.50389,176.22255,210.12411,134.50389,254.59654,12602,246,0.027839643652561245,0.38530066815144765,0.010726633300430057
697,0.01450356,0.012079923,0.014858083,0.008134015,0.024021666,85.46962,164.0712,156.1549,85.46962,178.56067,12602,453,0.12694877505567928,0.08240534521158129,0.01046125763265063
147,0.017657803,0.021030024,0.020808816,0.010623391,0.034453835,133.54967,257.79044,133.54967,171.2212,186.62012,12602,80,0.028953229398663696,0.35412026726057905,0.010252925332711642
515,0.01422323,0.01139205,0.020979539,0.008987046,0.027788848,112.33185,112.33185,151.54167,113.58631,200.1378,12602,462,0.05790645879732739,0.17483296213808464,0.010123957718463698
138,0.01925359,0.0151613,0.029108118,0.009671294,0.038050603,142.65706,178.31017,289.95914,142.65706,199.74066,12602,49,0.023385300668151445,0.4287305122494432,0.010025991934563815
573,0.01485919,0.011905122,0.021958223,0.006761649,0.029063568,119.857864,142.59457,148.66045,119.857864,191.44887,12602,333,0.04788418708240534,0.20824053452115812,0.009971428713151223
894,0.015962332,0.01389935,0.028145213,0.0097279,0.035215635,135.97633,186.66634,235.3901,153.2812,135.97633,12602,36,0.026726057906458794,0.36748329621380843,0.009821379854266593
400,0.012583343,0.012819778,0.018539708,0.009302408,0.02581488,99.67147,166.02011,144.3973,109.75797,99.67147,12602,196,0.07683741648106904,0.12583518930957682,0.00966885084895412
93,0.011571751,0.010844915,0.012117122,0.0060677337,0.019958513,23.260387,26.102913,27.924145,33.004383,23.260387,12602,504,0.7138084632516704,0.013363028953229397,0.009538643161492253
191,0.012514661,0.014442872,0.018325564,0.008400437,0.026477152,105.89933,201.75029,105.89933,124.61827,138.93135,12602,121,0.06681514476614699,0.14253897550111358,0.009523762282925183
797,0.016222142,0.012560298,0.021645641,0.0072866837,0.029823694,124.87936,233.65721,283.31436,124.87936,213.79579,12602,89,0.04008908685968819,0.23162583518930957,0.009285668225852053
728,0.016893348,0.012732031,0.021640405,0.007964905,0.030262137,129.5234,170.62198,129.5234,143.91841,150.26987,12602,100,0.0378619153674833,0.24276169265033407,0.00919142266159394
824,0.01193334,0.010523916,0.013426966,0.005935653,0.020819241,43.454395,65.355225,43.454395,44.636517,139.83507,12602,526,0.3841870824053452,0.023385300668151445,0.008984330434868874
366,0.012265642,0.009761811,0.015464087,0.0053706537,0.02201992,68.90163,82.15676,76.808846,68.90163,193.52905,12602,296,0.19710467706013363,0.043429844097995544,0.008560225395707362
25,0.010553663,0.008550016,0.016868383,0.0064345207,0.021656983,60.863194,104.0518,115.93777,60.863194,110.22419,12602,444,0.2305122494432071,0.036748329621380846,0.008470940124304938
828,0.012511675,0.009790512,0.012736954,0.0055273958,0.020362372,37.926304,64.9995,37.926304,43.526306,108.39846,12602,462,0.4621380846325167,0.017817371937639197,0.008234086140445731
779,0.012480996,0.010401011,0.01469034,0.007244417,0.02190348,66.52592,174.82089,98.23158,119.15287,66.52592,12602,404,0.20712694877505566,0.03897550111358575,0.0080728766226358
448,0.008932807,0.009253058,0.020008497,0.006991007,0.023785586,93.79477,93.79477,126.25158,168.00021,105.28413,12602,246,0.10579064587973273,0.07461024498886414,0.007893066006617029
548,0.014442213,0.010825061,0.023386657,0.0066465805,0.029541414,130.65329,153.91779,130.65329,136.90282,146.68991,12602,342,0.034521158129175944,0.22271714922048996,0.007688453926319809
37,0.013356389,0.012296502,0.021363482,0.008965874,0.028035609,123.040855,207.62468,123.040855,142.29877,256.4434,12602,111,0.042316258351893093,0.1792873051224944,0.00758676792277816
998,0.011433945,0.009462682,0.01386181,0.0048737805,0.020308305,38.357533,65.97946,39.492905,38.357533,51.90488,12602,403,0.45545657015590196,0.015590200445434297,0.00710065922292052
511,0.013365863,0.010789787,0.019203434,0.0070558307,0.025765046,113.39174,155.10345,137.7551,113.39174,309.44247,12602,380,0.05679287305122494,0.12472160356347438,0.007083298197925605
181,0.020616041,0.013086608,0.024203064,0.008609685,0.034381226,147.24821,147.24821,293.34543,214.79347,165.97232,12602,32,0.020044543429844096,0.3530066815144766,0.00707585775864207
460,0.010677293,0.011835572,0.024370985,0.009083402,0.02912096,132.46675,132.46675,282.6062,161.18016,171.0459,12602,221,0.03340757238307349,0.210467706013363,0.007031215122940857
886,0.01838388,0.015857339,0.03828411,0.009622994,0.045333162,161.69188,239.8245,285.37332,161.69188,185.40744,12602,40,0.012249443207126948,0.5567928730512249,0.006820402676574025
450,0.013613006,0.012025069,0.01531124,0.009103661,0.023756059,95.59663,180.50664,98.84481,95.59663,242.6547,12602,351,0.09354120267260578,0.07238307349665923,0.006770799748017121
